介绍,总价/万元,元/平方米,地铁距离,描述,主键
"宏翔公寓,2室2厅,75.33平  ",440,58409,距离8号线翔殷路站853米,杨浦 黄兴公园 |高层/6层 |朝南 |1999年建,sh4275944
"大上海国际花园（六区）,2室2厅,84.68平  ",459,54204,距离9号线合川路站739米,闵行 静安新城 |高层/7层 |朝南 |1994年建,sh4169697
"又一村（长宁）,2室2厅,76.05平  ",616,80999,距离11号线交通大学站600米,长宁 新华路 |中层/6层 |朝南 |1990年建,sh4217377
"聚丰景都,2室2厅,82.33平  ",425,51621,,宝山 上大 |高层/6层 |朝南北 |2009年建,sh2030639
"长乐路366弄,2室1厅,73.1平  ",710,97127,距离13号线淮海中路站263米,黄浦 淮海中路 |低层/4层 |朝东北 |1990年建,sh4214126
"香楠小区,2室2厅,80.34平  ",430,53522,距离2号线广兰路站948米,浦东 张江 |高层/6层 |1995年建,sh4356461
"钦州花苑,2室1厅,81.17平  ",405,49895,距离9号线桂林路站900米,徐汇 田林 |低层/29层 |朝南 |1995年建,sh4292956
"奥林匹克花园,2室2厅,83.7平  ",400,47789,距离9号线中春路站884米,松江 九亭 |高层/11层 |朝 |2008年建,sh4270910
"城浦公寓,2室1厅,73.86平  ",498,67424,距离8号线黄兴公园站349米,杨浦 黄兴公园 |高层/6层 |朝南北 |2000年建,sh4266632
"平阳三街坊,2室2厅,70.2平  ",440,62678,距离12号线虹莘路站636米,闵行 古美 |高层/6层 |朝南北 |2003年建,sh4228970
"虹梅花苑,3室1厅,85.48平  ",480,56153,距离10号线龙溪路站361米,长宁 西郊 |高层/6层 |朝南 |1995年建,sh4218326
"新华南园大厦,2室1厅,85.86平  ",630,73375,距离4号线大木桥路站667米,黄浦 世博滨江 |中层/31层 |朝南 |2004年建,sh4218304
"大唐盛世花园,4室2厅,181.51平  ",1520,83741,距离7号线龙阳路站490米,浦东 花木 |中层/18层 |朝 |2004年建,sh4156211
"海申花园,4室2厅,168.02平  ",850,50589,距离10号线宋园路站780米,闵行 金虹桥 |中层/6层 |朝南 |1995年建,sh4271399
"锦绣江南（一期）,4室2厅,143.49平  ",928,64673,距离10号线龙柏新村站742米,闵行 金汇 |中层/10层 |朝南北 |2002年建,sh4241588
"阳明国际花苑,4室2厅,144.54平  ",780,53964,,闵行 莘庄 |高层/11层 |朝南北 |2001年建,sh4253201
"东旺名苑,4室3厅,76.8平  ",650,84635,距离6号线上南路站913米,浦东 三林 |高层/6层 |朝南 |2010年建,sh3135411
"海悦花园,4室2厅,172.27平  ",1650,95779,距离4号线鲁班路站300米,黄浦 打浦桥 |高层/39层 |朝南北 |2004年建,sh4251701
"东明花苑,4室2厅,184.82平  ",650,35169,距离9号线松江新城站587米,松江 松江新城 |高层/12层 |朝南北 |2000年建,sh4247825
"中远两湾城,4室2厅,160.45平  ",1150,71673,距离3号线中潭路站425米,普陀 中远两湾城 |中层/34层 |朝南北 |2005年建,sh1847816
"万里名轩,4室2厅,153.26平  ",770,50241,距离11号线上海西站站985米,普陀 万里 |低层/9层 |朝南北 |1999年建,sh4165697
"东方城市绿州,4室2厅,88.62平  ",480,54163,,浦东 川沙 |低层/13层 |朝南北 |2010年建,sh2125234
"中建溪岸澜庭,4室2厅,129.36平  ",585,45222,,嘉定 南翔 |中层/18层 |朝南,sh4195283
"绿地景汇佳苑,4室2厅,201.84平  ",1000,49544,,浦东 周浦 |低层/18层 |朝南北,sh3716030
"保利叶语（公寓）,4室2厅,125.89平  ",720,57192,距离7号线顾村公园站557米,宝山 顾村 |低层/27层 |朝东 |2012年建,sh4245730
"美岸栖庭（公寓）,4室3厅,181.37平  ",820,45211,距离3号线长江南路站729米,宝山 高境 |低层/13层 |朝南北 |2007年建,sh4296002
